text,label
Would be nice to see the total item count next to each filter label,Low
Package arrived completely destroyed — contents are unusable,High
Product images not loading on the listing pages intermittently,High
"This is ridiculous, I've sent five support tickets and got zero response",High
Online appointment booking system is confusing and hard to navigate,Medium
Foreign transaction declined despite sufficient funds and travel notification,High
its broken again lol nothing ever works here tbh,Medium
Critical: payment processor is double-charging every customer at checkout,Critical
Our CDN provider went down taking all static assets with it,Critical
Payroll system crashed — 500 employees have not received their salaries,Critical
Partial order delivered — half the items are missing and no communication,High
"Referral letter never sent to specialist, I've been waiting two months",High
Numeric input allows typing letters which is confusing Need resolution today.,Medium
"Emergency: lab results system offline, cannot retrieve urgent test results",Critical
Received a counterfeit product — this is a serious issue requiring escalation,High
Audio/video calls dropping every 5 minutes due to timeout bug Please fix ASAP.,High
Feedback: App version number not visible anywhere in the settings,Low
Dropdown arrow icon misaligned by a few pixels in Firefox,Low
Print stylesheet missing causing poor formatting when printing,Medium
Sorting and filtering in data table producing wrong results Need resolution today.,High
Cannot log in to my account after the password reset,High
Feedback: Font rendering differs slightly between Chrome and Firefox,Medium
This is getting old — same loading issue appears every Monday morning,Medium
The UI button alignment looks slightly off in the settings page,Low
Could benefit from a pinned note or sticky widget on dashboard,Low
just letting you know the charts look totally off on my screen,Medium
Mobile scroll sometimes triggers swipe-back navigation by mistake,Medium
My subscription was charged twice this billing cycle,High
"Hi team, unable to delete account — button gives internal server error",High
"Cannot export data to CSV, button does nothing when clicked Happening since yesterday.",High
Stale data shown for a moment before live data loads in,Medium
just fyi the export button doesnt do anything rn,Medium
Number formatting inconsistent — some show commas some don't,Medium
Billed for a service I did not receive during my last visit,High
Notification emails landing in spam for all major providers,High
Investment portfolio showing incorrect balances after the system maintenance,High
Performance review data was lost after system migration — months of records gone,High
Would appreciate a text reminder option instead of just email,Low
Scrolling in dropdown menus is not smooth on mobile devices,Medium
I hate how this always happens — the sync fails right when I need to share files,High
Cancel button label could say 'Go Back' for better user clarity,Low
Autocomplete dropdown covers action buttons making them unusable,High
Button group has inconsistent border radius across the app,Low
Copy to clipboard button gives no visual feedback after action,Medium
Application firewall blocking all legitimate traffic since upgrade,Critical
All user sessions invalidated after the server crash,Critical
Message queue overflow causing complete order processing failure,Critical
You charged my card but I never received a confirmation email or the product,High
Error messages disappear too quickly before user can read them,Medium
Mobile push notification service completely stopped delivering,Critical
The app could use a 'what's new' section to highlight updates Happening since yesterday.,Low
Avatar initials use wrong color in dark mode theme,Low
Autocomplete dropdown covers action buttons making them unusable,High
Our CDN provider went down taking all static assets with it,Critical
API RETURNING 403 FOR VALID AUTHENTICATED REQUESTS RANDOMLY,High
Occasional 'session about to expire' warning on active sessions This is very frustrating.,Medium
My account got hacked and all money is gone,Critical
Unauthorized transaction detected in my bank,Critical
Payment deducted twice but no order placed,Critical
You leaked my personal data,Critical
Fraud transaction happened from your app,Critical
My account shows balance zero suddenly,Critical
Refund not received after deduction,Critical
Someone accessed my account without permission,Critical
Money debited but service not delivered,Critical
Data breach detected in your system,Critical
App is not opening at all,High
Website crashes during checkout,High
Order marked delivered but not received,High
Payment keeps failing repeatedly,High
App freezes during important tasks,High
Login not working since morning,High
System error blocking my work,High
Unable to access account dashboard,High
Checkout page not loading,High
App stuck on loading screen,High
Delivery was late by 2 days,Medium
Staff was rude during visit,Medium
App is slow and lagging,Medium
Delay in response from support team,Medium
Order tracking not updating properly,Medium
Notifications are delayed,Medium
App takes too long to load,Medium
Service quality is inconsistent,Medium
Frequent minor glitches observed,Medium
Experience is average but slow,Medium
UI looks outdated,Low
Add dark mode feature,Low
Improve app design,Low
Navigation can be better,Low
Minor alignment issue in buttons,Low
Font size too small,Low
Colors are not appealing,Low
Need better animations,Low
UI could be cleaner,Low
Improve user experience,Low
Everything was fine but now nothing works,High
Love the app but payment fails sometimes,High
Not a big issue but logout happens often,Medium
Why does this app even exist if nothing works,High
My data seems missing after update,Critical
It's okay but delivery delays are frequent,Medium
Refund pending for weeks,High
UI is nice but buttons not responding,Medium
Support is slow but helpful,Medium
Service is good but app crashes,High
Charged twice and support not responding,Critical
App usable but fails during payment,High
Delivery boy left package at wrong place,Medium
App logs me out randomly,Medium
Everything broken after update,High
Slow performance but manageable,Medium
Payment declined multiple times,High
System shows error again and again,High
Unable to reset password,High
Account locked without reason,High
Minor bug in settings page,Low
Small UI glitch observed,Low
Feature request for better search,Low
Improve onboarding process,Low
Add more themes,Low
Icons look outdated,Low
Spacing issue in layout,Low
Scrollbar not smooth,Low
Need customization options,Low
Improve accessibility features,Low
I am very frustrated nothing works properly,High
App crashes only sometimes but annoying,Medium
System slow but usable,Medium
Payment issue but resolved later,Medium
Service good but occasional bugs,Medium
Experience okay but needs improvement,Low
Support team delayed response,Medium
Order delayed but delivered,Medium
App glitch but fixed after restart,Low
Not satisfied with performance,Medium
Account compromised and data stolen,Critical
Suspicious login activity detected,Critical
Unauthorized access to profile,Critical
Sensitive info leaked,Critical
Payment done but not reflected,Critical
Duplicate transaction issue,Critical
Refund denied without reason,High
Billing issue unresolved,High
System error affecting orders,High
Major bug in checkout system,High
Delivery late but acceptable,Medium
Product damaged slightly,Medium
Service average not great,Medium
App works but slow sometimes,Medium
UI okay but can improve,Low
Minor inconvenience in usage,Low
Small bug but ignorable,Low
Feature missing but not critical,Low
App decent but not perfect,Low
Everything fine overall,Low
Just checking if my account is active. Keep it up.,No Issue
"This app is so easy to use, thank you.",No Issue
"Hello, the delivery was super fast, very happy.",No Issue
Everything is working perfectly fine today. Keep it up.,No Issue
"Hello, everything is working perfectly fine today.",No Issue
Best service I have ever used. Thanks!,No Issue
Where can I find the settings menu? Keep it up.,No Issue
Just checking if my account is active.,No Issue
"Hello, nothing to report, all good.",No Issue
Best service I have ever used. Keep it up.,No Issue
I absolutely love the new update! Thanks!,No Issue
Is there a dark mode coming soon?,No Issue
Just wanted to say the support team was fantastic. Keep it up.,No Issue
Great job on the UI redesign.,No Issue
"Hello, just wanted to say the support team was fantastic.",No Issue
I absolutely love the new update! Keep it up.,No Issue
"Hello, just checking if my account is active.",No Issue
Just checking if my account is active.,No Issue
Thanks for fixing the bug from last week! Keep it up.,No Issue
I absolutely love the new update!,No Issue
I absolutely love the new update! Thanks!,No Issue
Where can I find the settings menu? Keep it up.,No Issue
"Hello, best service i have ever used.",No Issue
"I have no complaints, just leaving a 5 star review.",No Issue
Best service I have ever used. Keep it up.,No Issue
Just wanted to say the support team was fantastic. Thanks!,No Issue
"Hello, is there a dark mode coming soon?",No Issue
Is there a dark mode coming soon? Keep it up.,No Issue
"Hello, just checking if my account is active.",No Issue
"This app is so easy to use, thank you.",No Issue
Great job on the UI redesign. Keep it up.,No Issue
Everything is working perfectly fine today.,No Issue
"Hello, can you add a feature to export to pdf?",No Issue
Great job on the UI redesign. Keep it up.,No Issue
"Hello, everything is working perfectly fine today.",No Issue
Great job on the UI redesign. Thanks!,No Issue
Thanks for fixing the bug from last week! Keep it up.,No Issue
Just wanted to say the support team was fantastic.,No Issue
"Hello, just checking if my account is active.",No Issue
"The delivery was super fast, very happy. Keep it up.",No Issue
Where can I find the settings menu? Thanks!,No Issue
How do I change my profile picture?,No Issue
"The delivery was super fast, very happy. Keep it up.",No Issue
I absolutely love the new update!,No Issue
"Hello, everything is working perfectly fine today.",No Issue
Just wanted to say the support team was fantastic. Keep it up.,No Issue
"Hello, everything is working perfectly fine today.",No Issue
I absolutely love the new update!,No Issue
"I have no complaints, just leaving a 5 star review. Keep it up.",No Issue
Just wanted to say the support team was fantastic.,No Issue
Thanks for fixing the bug from last week! Thanks!,No Issue
Where can I find the settings menu? Keep it up.,No Issue
"Hello, where can i find the settings menu?",No Issue
"Nothing to report, all good.",No Issue
"Nothing to report, all good. Keep it up.",No Issue
Just wanted to say the support team was fantastic. Thanks!,No Issue
"Hello, great job on the ui redesign.",No Issue
"Nothing to report, all good. Keep it up.",No Issue
"Hello, how do i change my profile picture?",No Issue
"This app is so easy to use, thank you.",No Issue
Just wanted to say the support team was fantastic. Keep it up.,No Issue
"I have no complaints, just leaving a 5 star review.",No Issue
"Hello, just checking if my account is active.",No Issue
Everything is working perfectly fine today. Keep it up.,No Issue
"Hello, how do i change my profile picture?",No Issue
Where can I find the settings menu? Thanks!,No Issue
How do I change my profile picture? Keep it up.,No Issue
Where can I find the settings menu?,No Issue
"Hello, nothing to report, all good.",No Issue
Great job on the UI redesign. Keep it up.,No Issue
Can you add a feature to export to PDF? Thanks!,No Issue
Just wanted to say the support team was fantastic.,No Issue
"This app is so easy to use, thank you. Keep it up.",No Issue
Where can I find the settings menu?,No Issue
"Hello, best service i have ever used.",No Issue
Just checking if my account is active. Keep it up.,No Issue
"Hello, the delivery was super fast, very happy.",No Issue
Thanks for fixing the bug from last week!,No Issue
"I have no complaints, just leaving a 5 star review. Keep it up.",No Issue
Just checking if my account is active.,No Issue
Just wanted to say the support team was fantastic. Thanks!,No Issue
Can you add a feature to export to PDF? Keep it up.,No Issue
"Hello, where can i find the settings menu?",No Issue
Everything is working perfectly fine today.,No Issue
Just wanted to say the support team was fantastic. Keep it up.,No Issue
Just checking if my account is active. Thanks!,No Issue
"Hello, can you add a feature to export to pdf?",No Issue
Everything is working perfectly fine today. Keep it up.,No Issue
"Hello, thanks for fixing the bug from last week!",No Issue
Can you add a feature to export to PDF?,No Issue
"Nothing to report, all good. Keep it up.",No Issue
Can you add a feature to export to PDF?,No Issue
"Hello, just checking if my account is active.",No Issue
"The delivery was super fast, very happy. Keep it up.",No Issue
"Hello, great job on the ui redesign.",No Issue
Is there a dark mode coming soon? Thanks!,No Issue
"I have no complaints, just leaving a 5 star review. Keep it up.",No Issue
Can you add a feature to export to PDF?,No Issue
"Hello, this app is so easy to use, thank you.",No Issue
Just wanted to say the support team was fantastic. Keep it up.,No Issue
"The delivery was super fast, very happy. Thanks!",No Issue
Best service I have ever used.,No Issue
Is there a dark mode coming soon? Keep it up.,No Issue
Just wanted to say the support team was fantastic.,No Issue
"Hello, is there a dark mode coming soon?",No Issue
Just wanted to say the support team was fantastic. Keep it up.,No Issue
"Hello, best service i have ever used.",No Issue
Just wanted to say the support team was fantastic.,No Issue
Is there a dark mode coming soon? Keep it up.,No Issue
"The delivery was super fast, very happy.",No Issue
"Nothing to report, all good. Thanks!",No Issue
Great job on the UI redesign. Keep it up.,No Issue
"Hello, this app is so easy to use, thank you.",No Issue
"Nothing to report, all good.",No Issue
Is there a dark mode coming soon? Keep it up.,No Issue
Thanks for fixing the bug from last week! Thanks!,No Issue
"Hello, thanks for fixing the bug from last week!",No Issue
How do I change my profile picture? Keep it up.,No Issue
"Hello, where can i find the settings menu?",No Issue
Best service I have ever used.,No Issue
Can you add a feature to export to PDF? Keep it up.,No Issue
Where can I find the settings menu?,No Issue
"Hello, where can i find the settings menu?",No Issue
Is there a dark mode coming soon? Keep it up.,No Issue
"Hello, great job on the ui redesign.",No Issue
Is there a dark mode coming soon? Thanks!,No Issue
Is there a dark mode coming soon? Keep it up.,No Issue
Just wanted to say the support team was fantastic.,No Issue
"Hello, i absolutely love the new update!",No Issue
Is there a dark mode coming soon? Keep it up.,No Issue
"This app is so easy to use, thank you. Thanks!",No Issue
Is there a dark mode coming soon?,No Issue
"Nothing to report, all good. Keep it up.",No Issue
"The delivery was super fast, very happy.",No Issue
"Hello, i have no complaints, just leaving a 5 star review.",No Issue
"I have no complaints, just leaving a 5 star review. Keep it up.",No Issue
"Hello, just wanted to say the support team was fantastic.",No Issue
"This app is so easy to use, thank you.",No Issue
Everything is working perfectly fine today. Keep it up.,No Issue
Just checking if my account is active.,No Issue
How do I change my profile picture? Thanks!,No Issue
Can you add a feature to export to PDF? Keep it up.,No Issue
"Hello, i have no complaints, just leaving a 5 star review.",No Issue
"I have no complaints, just leaving a 5 star review.",No Issue
Thanks for fixing the bug from last week! Keep it up.,No Issue
How do I change my profile picture? Thanks!,No Issue
"Hello, best service i have ever used.",No Issue
Everything is working perfectly fine today. Keep it up.,No Issue
"Hello, thanks for fixing the bug from last week!",No Issue
Where can I find the settings menu?,No Issue
ok,No Issue
perfect man,No Issue
decent 👍,No Issue
nice 👍,No Issue
no problem man,No Issue
all good 👍,No Issue
excellent,No Issue
superb.,No Issue
excellent!,No Issue
good job,No Issue
love it,No Issue
very no problem!,No Issue
very looks good :),No Issue
thanks.,No Issue
excellent man,No Issue
thanks,No Issue
looks good.,No Issue
no problem,No Issue
good product,No Issue
love it,No Issue
excellent,No Issue
thanks :),No Issue
not bad 👍,No Issue
works fine.,No Issue
thanks!,No Issue
looks good,No Issue
perfect,No Issue
superb,No Issue
decent,No Issue
decent,No Issue
not bad,No Issue
excellent :),No Issue
decent.,No Issue
very nice,No Issue
cool,No Issue
very good job man,No Issue
ok,No Issue
very decent,No Issue
very nice 👍,No Issue
great 👍,No Issue
great man,No Issue
good job,No Issue
very no problem,No Issue
fine,No Issue
ok,No Issue
fine,No Issue
awesome,No Issue
works fine man,No Issue
nice!,No Issue
very awesome,No Issue
ok 👍,No Issue
looks good!,No Issue
awesome,No Issue
nice man,No Issue
all good,No Issue
works fine,No Issue
great,No Issue
good product :),No Issue
ok,No Issue
very thanks,No Issue
looks good,No Issue
good job,No Issue
very superb,No Issue
excellent.,No Issue
decent man,No Issue
looks good :),No Issue
love it.,No Issue
love it,No Issue
all good,No Issue
very not bad.,No Issue
excellent!,No Issue
perfect,No Issue
decent!,No Issue
nice man,No Issue
thanks,No Issue
love it,No Issue
love it,No Issue
very nice 👍,No Issue
looks good 👍,No Issue
good job :),No Issue
no problem,No Issue
all good,No Issue
not bad,No Issue
very good product,No Issue
works fine,No Issue
nice,No Issue
superb,No Issue
perfect.,No Issue
love it 👍,No Issue
perfect 👍,No Issue
very no problem,No Issue
decent 👍,No Issue
very thanks,No Issue
looks good,No Issue
all good 👍,No Issue
very nice 👍,No Issue
perfect,No Issue
all good,No Issue
awesome!,No Issue
decent,No Issue
